연도,팀순위,팀명,경기수,팀승수,팀패수,팀무승부수,팀승률,팀게임차
2020,1,NC,144,83,55,6,0.601,0
2020,2,KT,144,81,62,1,0.566,4.5
2020,3,두산,144,79,61,4,0.564,5
2020,4,LG,144,79,61,4,0.564,5
2020,5,키움,144,80,63,1,0.559,5.5
2020,6,KIA,144,73,71,0,0.507,13
2020,7,롯데,144,71,72,1,0.497,14.5
2020,8,삼성,144,64,75,5,0.46,19.5
2020,9,SK,144,51,92,1,0.357,34.5
2020,10,한화,144,46,95,3,0.326,38.5
2019,1,SK,144,88,55,1,0.615,0
2019,2,두산,144,88,55,1,0.615,0
2019,3,키움,144,86,57,1,0.601,2
2019,4,LG,144,79,64,1,0.552,9
2019,5,NC,144,73,69,2,0.514,14.5
2019,6,KT,144,71,71,2,0.5,16.5
2019,7,KIA,144,62,80,2,0.437,25.5
2019,8,삼성,144,60,83,1,0.42,28
2019,9,한화,144,58,86,0,0.403,30.5
2019,10,롯데,144,48,93,3,0.34,39
2018,1,두산,144,93,51,0,0.646,0
2018,2,SK,144,78,65,1,0.545,14.5
2018,3,한화,144,77,67,0,0.535,16
2018,4,넥센,144,75,69,0,0.521,18
2018,5,KIA,144,70,74,0,0.486,23
2018,6,삼성,144,68,72,4,0.486,23
2018,7,롯데,144,68,74,2,0.479,24
2018,8,LG,144,68,75,1,0.476,24.5
2018,9,KT,144,59,82,3,0.418,32.5
2018,10,NC,144,58,85,1,0.406,34.5
